name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025
3 Sylvia Court Thomastown VIC 3074,3074,House,3,1,2,0.3,380.00,3221.8,18198.3,3952.0,3807.0,3667.0,3532.0,51381,53067,54808,56606
4 Burwood Court Thomastown VIC 3074,3074,House,3,1,2,0.2,$380,1388.9,17477.2,3952.0,3807.0,3667.0,3532.0,51381,53067,54808,56606
4/1 Parry Road Eltham North VIC 3095,3095,House,3,2,2,0.3,$625,3048.3,27818.8,29909.0,29617.0,29331.0,29049.0,132051,136150,140378,144739
15 Grandin Street Wollert VIC 3750,3750,House,3,2,1,1.7,$430 per week,7701.9,32700.3,26849.0,31638.0,37282.0,43932.0,60072,61642,63253,64906
61 Fig Street Dromana VIC 3936,3936,House,3,1,0,1.4,$420 per week,22617.5,84160.1,13380.0,13629.0,13883.0,14142.0,46669,46695,46721,46747
1/19 Irving Avenue Prahran VIC 3181,3181,Apartment / Unit / Flat,1,1,1,1.0,$300 Per Week,1559.2,8693.0,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504
17 James St Richmond VIC 3121,3121,House,3,3,2,0.3,Contact Agent,599.7,4780.9,33700.0,32500.0,31343.0,30227.0,82185,86074,90147,94413
41 Kefford Avenue Lalor VIC 3075,3075,House,3,1,2,0.3,$400 per week,2463.4,19695.2,24155.0,23632.0,23121.0,22621.0,54028,56217,58495,60865
67 Lowson Street Fawkner VIC 3060,3060,House,3,1,0,0.3,$400 pw,2086.2,14929.8,14481.0,14067.0,13666.0,13276.0,49904,51029,52179,53355
35 Entally Drive Albanvale VIC 3021,3021,House,3,1,0,0.8,$340,3279.8,29085.4,45495.0,44112.0,42773.0,41476.0,160789,167220,173917,180890
3 Hallifax Walk Epping VIC 3076,3076,House,3,2,2,0.7,$410.00,4003.7,22933.9,13064.0,12978.0,12892.0,12808.0,61576,64090,66707,69431
3 Ambition Drive Greenvale VIC 3059,3059,House,3,2,4,1.8,$445 per week,7673.1,27012.3,23362.0,24587.0,25876.0,27233.0,65450,68513,71719,75075
